id,parent_id,nama,role,icon,link
1,2,Absensi Detail,1,,report/absensi_detail
2,2,Absensi Lembur,1,,report/absensi_lembur
3,2,Ketidakhadiran Pegawai,1,,report/ketidakhadiran_pegawai
4,2,Absensi Yang Telah Dimaintain,1,,report/absensi_telah_dimaintain
5,3,Data Pegawai,1,,maintenance_data/lihatPegawai
6,3,Data Tidak Masuk,1,,maintenance_data/C_pegawaiTidakMasuk
7,3,Data Jadwal Kerja,1,,maintenance_data/C_pegawaiJadwalKerja
8,3,Data Jadwal Shift,1,,maintenance_data/C_pegawaiJadwalShift
9,3,Data Lembur Otomatis,1,,maintenance_data/C_pegawaiLemburOtomatis
10,3,Data Outsource,1,,maintenance_data/C_pegawaiOutsource
11,3,Data Hari Lembur,1,,maintenance_data/c_pegawailembur
12,3,Data Absensi,1,,maintenance_data/c_data_absensi
